"id","tags"
"0","CHILDREN'S-LITERATURE"
"1","FICTION"
"2","FICTION NOVEL"
"3","FICTION HISTORICAL-FICTION HISTORICAL-NOVEL"
"4","FICTION NOVEL"
"5","FICTION MYSTERY SUSPENSE"
"6","SPECULATIVE-FICTION NOVEL"
"7","SCIENCE-FICTION SPECULATIVE-FICTION"
"8","SPECULATIVE-FICTION NOVEL"
"9",""
"10","SCIENCE-FICTION ALTERNATE-HISTORY"
"11","FICTION NOVEL"
"12","FICTION"
"13","SCIENCE-FICTION SPECULATIVE-FICTION"
"14","FICTION NOVEL"
"15","SPECULATIVE-FICTION FICTION FANTASY"
"16","FICTION NOVEL ROMANCE-NOVEL"
"17","FICTION CHILDREN'S-LITERATURE"
"18","SCIENCE-FICTION SPECULATIVE-FICTION FICTION FANTASY"
"19","SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
"20","SCIENCE-FICTION SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
"21","SCIENCE-FICTION SPECULATIVE-FICTION"
"22","FICTION NOVEL"
"23","SCIENCE-FICTION SPECULATIVE-FICTION FICTION"
"24","FICTION NOVEL"
"25","SPECULATIVE-FICTION CHILDREN'S-LITERATURE"
"26","SPECULATIVE-FICTION FICTION NOVEL FANTASY"
"27","FICTION NOVEL"
"28","FICTION NOVEL"
"29",""
"30","SCIENCE-FICTION SPECULATIVE-FICTION"
"31","SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
"32","FICTION SPY-FICTION THRILLER"
"33","SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
"34","FICTION MYSTERY SUSPENSE CRIME-FICTION"
"35","FICTION HISTORICAL-FICTION HISTORICAL-NOVEL"
"36",""
"37","SCIENCE-FICTION SPECULATIVE-FICTION"
"38","FICTION MYSTERY SUSPENSE CRIME-FICTION"
"39","SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
"40","AUTOBIOGRAPHY MEMOIR NON-FICTION"
"41","SPECULATIVE-FICTION FANTASY"
"42","NOVEL"
"43","FICTION NOVEL"
"44","FICTION MYSTERY CRIME-FICTION"
